Time,Run,Nature,Culture,LTM,MaxLTM,RC,UR
4450,3,0,0,31.3,31.3,0.201,0.12
4500,3,0,0,29.9,29.9,0.241,0.42
4550,3,0,0,30,30,0.201,0.7
4600,3,0,0,30,30,0.131,0.32
4650,3,0,0,30.2,30.2,0.211,0.3
4700,3,0,0,29.5,29.5,0.101,0.17
4750,3,0,0,29.9,29.9,0.101,0.22
4800,3,0,0,29.4,29.4,0.131,0.47
4850,3,0,0,29,29,0.131,0.19
4900,3,0,0,29.8,29.8,0.271,0.44
4950,3,0,0,29.1,29.1,0.181,0.07
5000,3,0,0,29.3,29.3,0.111,0.29
0,4,0,0,49.6,49.6,0.7,8
50,4,0,0,34.6,49.9,0.71,62.39
100,4,0,0,36.9,49.9,0.7,58.37
150,4,0,0,33.3,50,0.9,62.49
200,4,0,0,37.1,48.9,0.83,61.19
250,4,0,0,33.7,49.1,0.8,60.76
300,4,0,0,36.3,49,0.79,63.9
350,4,0,0,32,48.7,0.96,59.49
400,4,0,0,35.6,47.5,0.72,60.72
450,4,0,0,36.5,48.6,0.72,63.37
500,4,0,0,37.5,49.5,0.69,57.62
550,4,0,0,39.3,50.6,0.69,58.48
600,4,0,0,37.5,51.2,0.64,41.57
650,4,0,0,30.8,51,0.65,61.88
700,4,0,0,34.4,50.8,0.66,52
750,4,0,0,33.8,49,0.8,58.98
800,4,0,0,38.2,47,0.92,62.12
850,4,0,0,39,48.9,0.9,59.9
900,4,0,0,31.7,49.6,0.84,61.03
950,4,0,0,33.1,49,0.85,64
1000,4,0,0,35.7,50.2,0.8,60.42
1050,4,0,0,32.8,50,0.83,63.7
1100,4,0,0,37.1,48.9,0.7,62.99
1150,4,0,0,33.2,49.5,0.6,55.41
1200,4,0,0,38.7,48.8,0.64,51.76
1250,4,0,0,38.6,50.4,0.51,34.86
1300,4,0,0,40.8,48.9,0.45,52.61
1350,4,0,0,38.6,49,0.3,44.8
1400,4,0,0,49.2,49.2,0.32,0.93
1450,4,0,0,48.8,48.8,0.08,0.23
1500,4,0,0,49.3,49.3,0.041,0.21
1550,4,0,0,49.2,49.2,0.061,0.38
1600,4,0,0,49.8,50,0.041,0.32
1650,4,0,0,49.1,49.5,0.011,0.18
1700,4,0,0,48.9,49,0.001,0.14
1750,4,0,0,49.8,49.8,0.091,0.38
1800,4,0,0,51.1,51.2,0.021,0.1
1850,4,0,0,50.9,51.1,0.211,0.49
1900,4,0,0,52,52.1,0.001,0.12
1950,4,0,0,51.9,51.9,0.151,0.37
2000,4,0,0,51,51,0.091,0.4
2050,4,0,0,49.7,50,0.101,0.37
2100,4,0,0,50.4,50.5,0.021,0.31
2150,4,0,0,51,51,0.101,0.22
2200,4,0,0,51.3,51.3,0.091,0.62
2250,4,0,0,52.6,52.8,0.091,0.37
2300,4,0,0,49.5,49.6,0.101,0.39
2350,4,0,0,47.9,48.6,0.151,0.5
2400,4,0,0,49.8,49.8,0.001,0.14
2450,4,0,0,50.7,50.9,0.011,0.11
2500,4,0,0,52,52,0.091,0.4
2550,4,0,0,52.2,52.6,0.001,0.09
2600,4,0,0,52.6,52.7,0.001,0.21
2650,4,0,0,54.1,54.5,0.101,0.56
2700,4,0,0,53,53.1,0.031,0.14
2750,4,0,0,53,53.1,0.101,0.31
2800,4,0,0,51.5,51.5,0.011,0.21
2850,4,0,0,52.1,52.1,0.071,0.26
2900,4,0,0,52.9,53,0.121,0.56
2950,4,0,0,52.6,53.2,0.201,0.79
3000,4,0,0,51.1,51.1,0.131,0.47
3050,4,0,0,52.1,52.3,0.081,0.2
3100,4,0,0,51.9,51.9,0.181,0.84
3150,4,0,0,52.5,53.4,0.261,0.77
3200,4,0,0,55,55,0.231,1.18
3250,4,0,0,54.8,55.1,0.411,1.11
3300,4,0,0,49,57.6,0.401,51.99
3350,4,0,0,46.2,56,0.401,52.2
3400,4,0,0,35.7,56.7,0.531,58.47
3450,4,0,0,31.9,58,0.601,59.98
3500,4,0,0,34.6,59.9,0.681,57.29
3550,4,0,0,34.2,60.1,0.711,61.6
3600,4,0,0,36.8,61.6,0.671,60.8
3650,4,0,0,33.7,60.8,0.701,64
3700,4,0,0,33.9,59.8,0.841,59.99
3750,4,0,0,35.2,60.1,0.901,60.97
3800,4,0,0,37.7,60.7,0.901,40.47
3850,4,0,0,41.4,61,0.901,57.4
3900,4,0,0,35.7,59.8,0.801,49.3
3950,4,0,0,42.3,60,0.761,64
4000,4,0,0,41.9,61.2,0.691,34.27
